217,1439,1,Notes on a Scandal
1287,1270,2,Drawing Restraint 9
911,1251,3,"Princess and the Warrior, The (Krieger und die Kaiserin, Der)"
1722,2848,4,"Apple Dumpling Gang Rides Again, The"
2359,11,5,Absolute Beginners
2978,2076,6,Halloweentown
1308,2431,7,"Haunting at Silver Falls, A"
183,2014,8,"Trials of Oscar Wilde, The"
2108,259,9,Goats
58,2192,10,September
101,977,11,Beyoncé: Life Is But a Dream
2478,1436,12,Stupid Boy (Garçon stupide)
2387,994,13,Numbskull Emptybrook in the Army (Uuno Turhapuro armeijan leivissä)
1137,1366,14,"Very Brady Sequel, A"
1274,2582,15,Somebody Up There Likes Me
2773,136,16,"Art of Flight, The"
2561,1802,17,Corpse Bride
118,2950,18,Beyond the Forest
1182,2438,19,Boot Camp
1113,75,20,Millions
532,2943,21,Forty Guns
2140,533,22,Money Matters 
2169,1517,23,Jealousy
2723,728,24,Welcome to Macintosh
2486,2959,25,"Endless Summer, The"
2546,2251,26,"Frozen, The"
85,170,27,"Chocolate Soldier, The"
1796,467,28,Hollidaysburg
1655,537,29,Ricochet
2448,2972,30,A Husband of Round Trip
394,2268,31,Coyote Ugly
1019,570,32,Anything for Her (Pour elle)
495,2836,33,Dating Games People Play
140,1982,34,The Hanoi Hilton
1157,2712,35,So Proudly We Hail!
2198,2610,36,Mudhoney
1039,2960,37,Ten Minutes Older: The Cello
2732,590,38,Baby... Secret of the Lost Legend
573,2924,39,"Defiant Ones, The"
2521,2498,40,Apache Country
1891,2710,41,"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire))"
2617,324,42,"Summer Wishes, Winter Dreams"
1326,25,43,Buddy Boy
1163,330,44,Quartier Mozart
383,2495,45,Visual Acoustics
550,2743,46,Let's Make Money
252,602,47,12 O'Clock Boys
508,2095,48,One Night at McCool's
1908,1375,49,C.H.U.D.
378,747,50,The Legend of Bloody Jack
1596,2514,51,Crazed Fruit (Kurutta kajitsu)
375,13,52,Henry Kissinger: Secrets of a Superpower (Henry Kissinger - Geheimnisse einer Supermacht)
814,1281,53,Heavy Metal 2000
1657,1136,54,Verbo
2021,2903,55,"Mummy's Curse, The"
1916,2930,56,Seven Pounds
2795,632,57,On Dangerous Ground
939,1783,58,All the Vermeers in New York
2566,147,59,Martin
1302,2488,60,"Single Man, A"
505,2801,61,The Phantom of the Opera
2388,1361,62,"Strangler, The"
564,1128,63,Oh Happy Day
597,242,64,Barbarosa
2117,1457,65,"Nazis: A Warning from History, The"
82,1235,66,Brief Encounter
160,2837,67,"Oversimplification of Her Beauty, An"
1991,1717,68,"Wing and the Thigh, The (L'aile ou la cuisse)"
2034,1202,69,Tabu
2080,2529,70,"Atomic Brain, The"
321,840,71,DuckTales: The Movie - Treasure of the Lost Lamp
2174,1549,72,Donovan's Brain
458,979,73,Hellraiser: Bloodline
288,104,74,Asterix and the Vikings (Astérix et les Vikings)
1742,1053,75,Hope and Glory
1084,524,76,Saving God
1221,881,77,Signs & Wonders
1901,2711,78,My Afternoons with Margueritte (La tête en friche)
39,1958,79,Jack the Ripper
1304,324,80,Beautiful Darling
2781,2804,81,Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud)
2956,2663,82,Extreme Ops
932,1717,83,Interiors
444,493,84,"Fast and the Furious, The"
2570,1559,85,Crossfire
1554,1442,86,Tyler Perry's Madea's Family Reunion
2211,1975,87,Bigger Than Life
2923,1927,88,Boy A
298,1028,89,Dog Run
1748,2613,90,"Beast Must Die, The"
2666,2821,91,Mrs. Henderson Presents
482,2735,92,Big Sur
1001,1384,93,Blondie Knows Best
1445,1941,94,Pushing Hands (Tui shou)
1156,797,95,Jim Carrey: Unnatural Act
2240,2047,96,Stalingrad
545,2910,97,Dark Woods (Villmark)
2807,1012,98,Her Master's Voice
2602,638,99,44500 Max
26,1216,100,Fear and Desire
1429,159,101,"Trotsky, The"
1891,534,102,"Abyss, The"
1021,2779,103,Toy Story That Time Forgot
1559,2504,104,The Perils of Pauline
1553,2348,105,Polly of the Circus
516,1947,106,"Errand Boy, The"
2789,391,107,"Secret Glory, The"
2411,114,108,Branded
2031,1892,109,"Guide, The (O Xenagos)"
328,2664,110,"Crow, The"
2535,2498,111,Do We Really Need the Moon?
402,2480,112,"Birds, The"
1510,379,113,Shoppen 
1591,2013,114,"Commitments, The"
2452,188,115,A One-Way Trip to Antibes
707,10,116,Saving Mr. Banks
664,1538,117,Rhythm of a Crime (Ritam zlocina)
2564,735,118,Go Go Tales
2537,1478,119,Show Boat
2500,194,120,Unforgotten: Twenty-Five Years After Willowbrook
2381,1184,121,"Red Badge of Courage, The"
535,1994,122,"Hand of Peace: Pope Pius XII and the Holocaust, A"
2787,2796,123,Pokémon the Movie 2000
557,1190,124,When the Levees Broke: A Requiem in Four Acts
126,2934,125,"Campaign, The"
858,2038,126,Walk All Over Me
1888,660,127,"Wedding Gift, The"
2819,2717,128,Grand Isle
40,1925,129,"Imposter, The"
219,1380,130,Scarface
1198,2195,131,"Fairly Odd Movie: Grow Up, Timmy Turner!, A"
1290,2676,132,Chilly Scenes of Winter (Head Over Heels)
1217,2102,133,Shoot the Piano Player (Tirez sur le pianiste)
1679,1636,134,Sinbad: The Fifth Voyage
902,268,135,"Band Called Death, A"
766,2674,136,Beyond the Forest
357,139,137,Jade Warrior (Jadesoturi)
275,2830,138,Mary Poppins
565,2502,139,Me and Morrison (Minä ja Morrison)
927,2861,140,Angela's Ashes
1668,2143,141,Hands Across the Table
1680,2388,142,About Schmidt
2105,356,143,"Murderous Maids (Blessures assassines, Les)"
1905,369,144,Lola
775,1886,145,Mac and Me
770,574,146,Across 110th Street
424,2381,147,King Kong
1705,1156,148,Message to Love: The Isle of Wight Festival
1930,40,149,Into the West
2993,2135,150,Doctor at Sea
2251,2305,151,Diabolique (Les diaboliques)
1861,1435,152,Zodiac
2890,606,153,Big Jim McLain
649,670,154,Love Exposure (Ai No Mukidashi)
259,1420,155,Resident Evil: Degeneration (Baiohazâdo: Dijenerêshon)
1990,2188,156,Palais royal !
2524,713,157,Misunderstood
1444,1236,158,Deliver Us From Evil
2949,2239,159,Trial
582,1601,160,Mio in the Land of Faraway (Mio min Mio)
1411,708,161,Adaptation
92,2871,162,A Star Athlete
1056,970,163,Bartok the Magnificent
481,2640,164,"Palm Beach Story, The"
1376,2834,165,"Double Life, A"
2623,73,166,Magicians
1357,2469,167,"Blade, The (Dao)"
1768,1782,168,Conserva Acabada
2962,870,169,Jerry Maguire
1738,1055,170,Twelfth Night
2445,1770,171,Tarzan
1129,2496,172,Hellraiser: Revelations
2733,2762,173,Bubble
2556,2755,174,Small Town Girl
1611,1298,175,"Quest, The"
2806,513,176,My Name Is Bruce
1663,261,177,Josie and the Pussycats
169,485,178,Room 666 (Chambre 666)
